_id,objectid,fld_ar_id,fld_zone,floodway,sfha_tf,static_bfe,v_datum,depth,len_unit,velocity,vel_unit,ar_revert,bfe_revert,dep_revert,source_cit,global_id,shape_length,shape_area
5209,116,1503,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,ff8c3585-7677-44c3-bef6-90c603b9006e,490.505329245895,3358.8125
5210,117,1548,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,b9e538d5-dc79-440f-82bf-b398a6690e1a,97.8697338391629,41.1015625
5211,118,1553,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,b5231609-de14-45f6-8477-a496238925f4,63.8564874818637,34.5
5212,119,1555,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,7b516a9c-8f5e-4b97-bd1c-5769f280115f,65.8072959951712,30.18359375
5213,122,1727,AE, ,T,729,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,e72ff7e7-6d8b-4cea-9153-e03df0802ab0,782.379765610551,42557.23046875
5214,123,1728,AE, ,T,729,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,6da76fa6-433e-416f-a015-c6a784665839,673.283991095607,16530.1484375
5215,124,1729,AE, ,T,733,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,d1e9c6b8-b4c5-4546-913f-cc764cab7b32,385.27712758229,3352.35546875
5216,125,1808,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,cf455bc9-661f-4745-a154-5fd43e5580b1,24.2907150114394,13.8125
5217,126,1809,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,bc5e5da5-9100-417d-80b1-1894a0e90faf,78.3515074878902,12.65625
5218,127,1813,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,ca30cd12-aa62-4164-bedf-141688ff3794,20.4183145275912,10.1171875
5219,128,1820,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,6c5a1d02-7e9a-42f6-8ad7-e3c174b27794,20.7185328641556,5.796875
5220,129,1824,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0fd1e158-5138-4a96-ad5d-06389a266e1e,35.6136639965096,4.4921875
5221,130,1827,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,f75efe9c-4bc4-43da-b83e-383309cc2204,25.6281210679551,3.78125
5222,131,1841,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,6b505e4d-5a4a-4d49-b3ce-58bcbde8ee77,2959.04046209376,10411.33984375
5223,132,1842,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,527ea153-f1ec-4db2-b8da-8a1189385da3,1237.16914041978,5568.13671875
5224,133,1850,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,6df6bd73-3c44-43d6-ba35-60b7c46cff22,153.383924941361,179.7578125
5225,134,1851,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,6efc4b03-37dd-4f53-8325-427c16a3358c,73.6297774125367,130.27734375
5226,135,1855,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,08090320-2367-4eff-9ce0-f6fb1339ce91,108.016782723083,61.953125
5227,136,1856,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,c78dfd92-3918-4c14-a513-21ea2af211a9,73.0153206947054,49.45703125
5228,137,1861,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,9f776539-7265-4d12-8288-8ceb12da28eb,895.750054245899,1556.3515625
5229,138,1863,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,e324313f-e6e6-415d-baa1-b1ff54394817,8703.36227614168,383036.5
5230,139,1896,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,c7d053cf-6252-42ee-ac00-fe637a59b180,40.0592604450604,8.87109375
5231,140,1899,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,c0bd99a1-ce07-4aa1-aa80-3596fc7a43fe,42.0121746998209,14.4609375
